id,artist,name,album,release_date,popularity,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genres
7i0d5gmak7nHrBAZJG3eSW,Roosevelt,Ordinary Love - Folamour Remix,Ordinary Love (Folamour Remix),2024-01-25,39,False,0.754,0.922,9,-7.751,0,0.0527,0.00534,0.67,0.0809,0.86,130.01,325706,4,indie emo;nu disco;shiver pop
7MOX3ibncypw3xGb4HZVFA,BLØF,Zoutelande (feat. Geike),Aan,2017-05-19,53,False,0.67,0.641,6,-7.198,0,0.0285,0.223,2.42e-05,0.141,0.891,129.016,223267,4,dutch pop;dutch rock
3G6hD9B2ZHOsgf4WfNu7X1,Lorde,Team,Pure Heroine,2013-09-27,75,False,0.691,0.578,6,-7.436,1,0.106,0.167,0.0,0.305,0.412,99.984,193059,4,art pop;metropopolis;nz pop;pop
2BeoGYw46Le2cYafiZwxOr,Elley Duhé,MONEY ON THE DASH - Marlon Hoffstadt aka DJ Daddy Trance Remix,MONEY ON THE DASH - Marlon Hoffstadt aka DJ Daddy Trance Remix,2024-03-01,46,False,0.676,0.935,10,-6.34,0,0.0653,4.31e-05,0.815,0.0325,0.784,150.984,306026,4,alt z
5EW0i7UltRvODlUXWOVE7l,Franck,Get Down,Numbaz EP,2022-01-14,43,False,0.727,0.951,7,-7.89,1,0.112,0.00294,0.0857,0.11,0.789,143.931,307967,4,
5tiTVSryX1Hu09cPsNvaIR,Suzan & Freek,Slapeloosheid,Slapeloosheid,2023-01-05,50,False,0.534,0.752,8,-6.715,0,0.0958,0.0381,1.13e-05,0.213,0.552,167.963,177143,4,dutch pop
1eCTQhsNA31FcwyNcJcf86,Sista Prod,"Eyes Blue Like The Atlantic, Pt. 2 (feat. Powfu, Alec Benjamin & Rxseboy)","Eyes Blue Like The Atlantic, Pt. 2 (feat. Powfu, Alec Benjamin & Rxseboy)",2020-08-13,62,False,0.702,0.616,6,-4.903,1,0.326,0.686,0.0,0.145,0.507,80.482,156188,4,sad lo-fi
5DqdesEfbRyOlSS3Tf6c29,Ali Gatie,It's You,YOU,2019-11-08,76,False,0.732,0.463,11,-6.972,0,0.0287,0.374,0.0,0.194,0.397,95.971,212607,4,canadian hip hop
6Kkt27YmFyIFrcX3QXFi2o,Lorde,Liability,Melodrama,2017-06-16,68,False,0.587,0.229,10,-11.254,0,0.128,0.92,0.0,0.1,0.379,75.67,171728,4,art pop;metropopolis;nz pop;pop
6wsqVwoiVH2kde4k4KKAFU,Travis Scott,I KNOW ?,UTOPIA,2023-07-28,84,True,0.927,0.619,5,-4.441,0,0.0539,0.0186,0.0,0.104,0.817,117.995,211582,4,rap;slap house
