"release_date","popularity","explicit","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature","listener_0","listener_1"
52,46,0,710,403,3,-11,1,184,913,33,132,571,160,90,4,1,0
32,62,0,255,645,11,-7,0,79,99,146,202,227,78,285,4,1,0
52,51,0,509,621,5,-7,1,179,699,26,215,72,126,215,3,1,0
55,96,1,797,653,9,-5,0,107,111,0,335,215,143,148,4,1,0
40,77,0,665,587,2,-5,1,71,29,0,204,321,112,175,4,1,0
53,46,1,619,901,2,-5,1,399,14,5,749,655,200,118,4,1,0
54,54,1,811,779,7,-5,1,312,74,3,98,611,155,140,4,1,0
40,70,0,226,879,11,-5,0,85,1,0,338,675,189,193,4,1,0
40,76,1,365,872,11,-5,0,386,35,0,107,419,169,202,4,1,0
18,74,0,552,921,2,-7,1,73,1,794,120,925,147,208,4,1,0
29,79,1,632,755,4,-8,0,552,97,0,543,390,95,212,4,1,0
41,60,0,710,417,7,-11,0,64,100,748,100,75,96,263,4,1,0
51,67,0,571,941,0,-4,0,81,1,26,37,376,165,256,4,1,0
52,71,1,627,459,0,-4,1,65,6,0,286,56,150,102,4,1,0
48,95,0,571,531,9,-7,1,207,676,0,470,565,160,185,3,1,0
52,73,0,355,219,1,-13,1,109,881,4,95,188,155,278,3,1,0
41,69,0,742,483,5,-10,1,58,273,591,88,646,112,328,4,1,0
55,36,0,628,833,9,-9,1,103,7,2,128,197,137,246,4,1,0
41,92,0,828,636,10,-6,0,264,52,0,266,673,88,211,4,1,0
52,71,0,638,532,1,-8,1,68,404,87,79,195,84,195,4,1,0
41,61,0,625,363,1,-11,0,63,704,838,74,52,77,280,4,1,0
30,30,0,302,268,0,-15,1,68,4,253,929,82,164,46,1,1,0
52,80,0,578,628,1,-7,1,238,400,0,417,335,168,180,4,1,0
54,46,1,779,967,1,0,1,715,69,4,30,611,200,107,3,1,0
52,69,0,639,0,9,-15,1,94,909,5,97,381,152,170,4,1,0
24,80,0,331,468,9,-9,0,60,0,5,76,308,117,270,3,1,0
41,54,0,712,761,0,-7,1,153,258,42,77,705,126,267,4,1,0
52,48,0,589,592,1,-10,0,185,269,0,134,172,180,182,4,1,0
52,74,0,590,172,10,-10,1,61,968,9,129,80,133,240,4,1,0
52,69,0,629,742,11,-7,1,81,47,306,77,499,131,185,4,1,0
55,94,1,898,608,0,-8,1,91,655,253,79,819,120,134,4,1,0
40,61,0,622,312,9,-14,1,89,363,0,262,265,104,135,4,1,0
41,77,0,557,598,11,-8,0,75,783,784,76,205,153,318,4,1,0
50,77,1,703,576,1,-10,1,248,629,243,86,207,169,174,4,1,0
40,57,0,652,842,11,-5,0,60,3,0,86,940,111,144,4,1,0
36,73,0,525,753,2,-6,0,66,3,64,150,142,83,280,4,1,0
52,68,0,395,422,4,-12,1,63,944,20,93,230,129,242,3,1,0
29,63,0,233,698,9,-12,1,112,1,7,98,307,113,209,3,1,0
52,87,1,858,614,10,-5,0,391,8,105,168,427,143,196,4,1,0
52,61,1,918,476,11,-8,0,297,14,0,48,412,151,167,4,1,0
52,62,1,689,768,6,-6,1,132,163,328,415,663,156,157,4,1,0
51,71,0,683,891,0,-5,0,79,4,4,116,782,132,277,4,1,0
47,92,1,671,732,4,-4,1,55,12,7,168,808,117,216,4,0,1
41,39,0,852,673,5,-8,1,152,123,66,209,916,121,166,4,0,1
51,56,0,760,453,11,-7,1,58,535,0,103,463,105,206,4,0,1
47,23,0,500,516,8,-6,1,84,248,2,118,279,133,159,4,0,1
54,49,0,767,955,11,-8,0,143,8,805,85,594,160,272,4,0,1
53,93,1,586,537,5,-7,1,256,143,0,99,403,143,202,4,0,1
54,37,0,808,562,7,-10,1,271,432,151,100,356,125,282,4,0,1
52,65,0,672,418,6,-10,0,626,645,0,135,550,129,158,4,0,1
55,23,0,779,414,1,-12,1,84,43,159,110,487,135,271,4,0,1
49,65,0,694,646,7,-10,1,67,293,900,91,58,118,391,4,0,1
49,52,0,807,435,11,-7,1,171,64,0,59,479,85,193,4,0,1
